target,iteration,num_features,r2,rmse,mae,r2_drop,r2_drop_iteration,removed_features,audio_count,text_count,sentiment_count,embeddings_count
danceability,24,174,0.5952513034647089,0.1100156578045685,0.08691139384998803,-0.003240693811152995,-0.0009860365675513627,"['embedding_349', 'embedding_95', 'embedding_289', 'embedding_264', 'embedding_223', 'embedding_273', 'embedding_300', 'embedding_60', 'embedding_214', 'embedding_284']",22,5,2,145
danceability,25,164,0.594945808228065,0.11005716864847813,0.08694382838804089,-0.002935198574509079,0.00030549523664391565,"['embedding_354', 'embedding_183', 'embedding_141', 'embedding_136', 'subjectivity', 'embedding_117', 'embedding_296', 'embedding_27', 'embedding_143', 'embedding_248']",22,5,1,136
danceability,26,154,0.5952459173893718,0.11001638980278737,0.08689395446996281,-0.003235307735815929,-0.0003001091613068496,"['embedding_97', 'embedding_357', 'embedding_204', 'embedding_351', 'embedding_104', 'embedding_150', 'embedding_189', 'embedding_378', 'embedding_304', 'embedding_194']",22,5,1,126
danceability,27,144,0.5962441813746349,0.10988063675548058,0.086752342696452,-0.004233571721078966,-0.000998263985263037,"['embedding_81', 'embedding_291', 'embedding_67', 'embedding_146', 'embedding_5', 'embedding_360', 'embedding_311', 'embedding_270', 'embedding_61', 'embedding_324']",22,5,1,116
danceability,28,134,0.5953077990514481,0.11000797944007246,0.08689223946438801,-0.003297189397892253,0.000936382323186713,"['embedding_52', 'embedding_268', 'embedding_298', 'embedding_101', 'embedding_218', 'embedding_323', 'embedding_191', 'embedding_224', 'embedding_37', 'embedding_155']",22,5,1,106
danceability,29,124,0.5960015049967067,0.10991365352961559,0.08679171139702371,-0.00399089534315078,-0.000693705945258527,"['embedding_231', 'embedding_153', 'embedding_277', 'embedding_149', 'embedding_177', 'embedding_178', 'embedding_315', 'embedding_236', 'embedding_42', 'embedding_120']",22,5,1,96
danceability,30,114,0.596691236876089,0.10981978766535543,0.08670698840393086,-0.004680627222533151,-0.0006897318793823715,"['embedding_89', 'embedding_113', 'embedding_283', 'embedding_29', 'embedding_28', 'embedding_237', 'embedding_180', 'embedding_361', 'embedding_302', 'embedding_375']",22,5,1,86
danceability,31,104,0.5970726748180593,0.10976784316678445,0.086659649465754,-0.00506206516450336,-0.00038143794197020853,"['embedding_43', 'embedding_48', 'embedding_66', 'polarity', 'embedding_145', 'embedding_3', 'embedding_347', 'embedding_91', 'embedding_306', 'embedding_140']",22,5,0,77
danceability,32,94,0.5968041478164301,0.10980441393111093,0.08666949608882402,-0.0047935381628742,0.00026852700162915966,"['embedding_352', 'embedding_244', 'embedding_316', 'mode', 'embedding_272', 'key_sin', 'embedding_130', 'embedding_355', 'embedding_109', 'embedding_333']",20,5,0,69
danceability,33,84,0.597611273458375,0.1096944545213574,0.08654249926811923,-0.0056006638048190505,-0.0008071256419448503,"['embedding_261', 'embedding_202', 'embedding_175', 'embedding_263', 'embedding_343', 'embedding_75', 'embedding_256', 'embedding_213', 'embedding_107', 'embedding_71']",20,5,0,59
danceability,34,74,0.5984492028835153,0.10958018179657449,0.08650709607015084,-0.006438593229959433,-0.0008379294251403824,"['embedding_159', 'embedding_80', 'embedding_216', 'embedding_92', 'embedding_276', 'embedding_252', 'embedding_209', 'embedding_20', 'embedding_337', 'embedding_19']",20,5,0,49
danceability,35,64,0.5977337160069014,0.1096777638319968,0.08660062382283179,-0.005723106353345497,0.0007154868766139355,"['genre_Jazz', 'embedding_259', 'embedding_111', 'embedding_356', 'embedding_364', 'embedding_1', 'embedding_14', 'embedding_292', 'embedding_309', 'embedding_366']",19,5,0,40
danceability,36,54,0.5969770945511483,0.10978086166537411,0.08669050231793797,-0.004966484897592438,0.0007566214557530593,"['embedding_319', 'embedding_295', 'embedding_254', 'embedding_266', 'embedding_0', 'genre_R&B', 'embedding_144', 'embedding_108', 'embedding_225', 'avg_word_length']",18,4,0,32
danceability,37,44,0.5972983570279877,0.10973709802035389,0.08661479155307847,-0.005287747374431828,-0.00032126247683939013,"['embedding_69', 'embedding_8', 'embedding_127', 'embedding_160', 'embedding_260', 'embedding_57', 'embedding_10', 'embedding_221', 'embedding_380', 'embedding_230']",18,4,0,22
danceability,38,34,0.5943315299991738,0.11014058972131142,0.08698822346675891,-0.0023209203456179273,0.002966827028813901,"['embedding_96', 'embedding_93', 'embedding_6', 'embedding_317', 'embedding_243', 'embedding_282', 'embedding_235', 'genre_Blues', 'genre_Country', 'embedding_169']",16,4,0,14
danceability,39,24,0.5908592589482525,0.110610953004418,0.08723046960425719,0.0011513507053033667,0.003472271050921294,"['embedding_137', 'embedding_106', 'embedding_21', 'embedding_247', 'embedding_77', 'embedding_119', 'embedding_31', 'embedding_314', 'embedding_238', 'embedding_253']",16,4,0,4
danceability,40,20,0.5851767810754585,0.11137643150910169,0.08795004184727011,0.006833828578097445,0.005682477872794078,"['genre_Folk', 'unique_words', 'genre_Pop', 'embedding_4']",14,3,0,3
popularity,0,414,0.14048447299603273,1.3668907189469557,1.1679294549270436,0.0,0.0,[],23,5,2,384
popularity,1,404,0.13972453514553596,1.3674948514270215,1.1691246032779763,0.0007599378504967724,0.0007599378504967724,"['embedding_146', 'embedding_195', 'embedding_234', 'embedding_130', 'embedding_196', 'embedding_30', 'embedding_362', 'embedding_188', 'embedding_335', 'embedding_316']",23,5,2,374
popularity,2,394,0.14121712561868105,1.3663080246613988,1.1664842032461185,-0.0007326526226483221,-0.0014925904731450945,"['embedding_296', 'embedding_297', 'embedding_273', 'embedding_197', 'embedding_236', 'key_cos', 'embedding_50', 'embedding_92', 'embedding_346', 'embedding_91']",22,5,2,365
popularity,3,384,0.13888981602351258,1.368158125803423,1.1689307171964414,0.0015946569725201476,0.0023273095951684697,"['embedding_256', 'embedding_38', 'key_sin', 'embedding_341', 'embedding_282', 'embedding_365', 'embedding_152', 'embedding_128', 'embedding_214', 'embedding_265']",21,5,2,356
popularity,4,374,0.1398928352066411,1.3673610799004075,1.166401938183094,0.0005916377893916414,-0.0010030191831285062,"['embedding_141', 'embedding_7', 'embedding_72', 'embedding_153', 'embedding_249', 'embedding_281', 'embedding_155', 'embedding_371', 'embedding_172', 'embedding_124']",21,5,2,346
popularity,5,364,0.13950809638583728,1.3676668662568412,1.167302041022854,0.0009763766101954507,0.0003847388208038094,"['embedding_22', 'embedding_156', 'embedding_90', 'embedding_150', 'embedding_126', 'embedding_350', 'embedding_376', 'embedding_166', 'embedding_6', 'embedding_87']",21,5,2,336
popularity,6,354,0.13830479121849515,1.3686227995210989,1.1690372340523478,0.0021796817775375787,0.001203305167342128,"['embedding_345', 'embedding_164', 'embedding_347', 'embedding_237', 'embedding_24', 'embedding_60', 'embedding_342', 'embedding_47', 'embedding_59', 'embedding_379']",21,5,2,326
popularity,7,344,0.13861336939590552,1.3683777215973913,1.1685677672743593,0.0018711036001272108,-0.00030857817741036797,"['embedding_268', 'embedding_171', 'embedding_353', 'embedding_264', 'embedding_226', 'embedding_89', 'embedding_13', 'embedding_3', 'embedding_113', 'subjectivity']",21,5,1,317
popularity,8,334,0.1394910934840553,1.3676803784063614,1.1676236108802418,0.0009933795119774214,-0.0008777240881497894,"['embedding_207', 'embedding_317', 'embedding_79', 'embedding_26', 'embedding_170', 'embedding_73', 'embedding_202', 'embedding_333', 'embedding_336', 'embedding_34']",21,5,1,307
popularity,9,324,0.13936769058532916,1.3677784422796588,1.1689029411283933,0.001116782410703565,0.00012340289872614374,"['embedding_134', 'embedding_250', 'embedding_94', 'embedding_285', 'embedding_117', 'embedding_55', 'embedding_302', 'embedding_219', 'embedding_54', 'embedding_272']",21,5,1,297
popularity,10,314,0.1396831966956783,1.3675277068556417,1.1676123421861888,0.0008012763003544254,-0.00031550611034913967,"['embedding_331', 'embedding_19', 'embedding_383', 'embedding_115', 'embedding_368', 'embedding_200', 'embedding_71', 'embedding_45', 'embedding_277', 'embedding_351']",21,5,1,287
popularity,11,304,0.13945212045171929,1.367711349641926,1.1680199795831996,0.0010323525443134418,0.00023107624395901638,"['embedding_88', 'embedding_267', 'embedding_330', 'embedding_310', 'embedding_161', 'embedding_311', 'embedding_114', 'embedding_180', 'embedding_105', 'embedding_227']",21,5,1,277
popularity,12,294,0.14091096480115406,1.3665515511210509,1.1660812509979246,-0.0004264918051213318,-0.0014588443494347736,"['embedding_300', 'embedding_168', 'embedding_222', 'embedding_360', 'embedding_182', 'embedding_231', 'embedding_210', 'embedding_191', 'embedding_206', 'embedding_293']",21,5,1,267
popularity,13,284,0.1385163117646312,1.3684548111148453,1.1706737592918117,0.001968161231401533,0.0023946530365228647,"['embedding_97', 'embedding_189', 'embedding_279', 'embedding_2', 'embedding_344', 'embedding_337', 'embedding_303', 'embedding_378', 'embedding_15', 'embedding_86']",21,5,1,257
popularity,14,274,0.13944048204203452,1.367720598361013,1.1690309645924741,0.0010439909539982084,-0.0009241702774033245,"['embedding_162', 'embedding_261', 'embedding_112', 'embedding_101', 'embedding_68', 'embedding_286', 'embedding_25', 'embedding_160', 'embedding_349', 'embedding_308']",21,5,1,247
popularity,15,264,0.13927952316119263,1.3678485014747042,1.1681078270507836,0.0012049498348400967,0.00016095888084188825,"['embedding_116', 'embedding_103', 'embedding_135', 'embedding_65', 'embedding_61', 'embedding_212', 'embedding_32', 'embedding_174', 'embedding_367', 'embedding_178']",21,5,1,237
popularity,16,254,0.13836326993827008,1.368576358119142,1.169646067076651,0.002121203057762644,0.0009162532229225473,"['embedding_67', 'embedding_33', 'embedding_339', 'embedding_12', 'embedding_290', 'embedding_84', 'embedding_179', 'embedding_43', 'embedding_192', 'embedding_292']",21,5,1,227
